unit,depth,,,,,
2,20,,,Key,,
2,20.98,,,,Unit number,Unit
1,21.779,,,,1,Salt
1,21.78,,,,2,Mud
1,21.84,,,,1.5,Parting Mud
1,22.03,,,,,
1,22.07,,,,,
1,22.25,,,,,
1,22.39,,,,,
1,22.87,,,,,
1,23.05,,,,,
1,23.21,,,,,
1,23.35,,,,,
1,23.42,,,,,
1,23.46,,,,,
1,24.1,,,,,
1,24.41,,,,,
1,24.52,,,,,
1,24.62,,,,,
1,24.72,,,,,
2,24.721,,,,,
2,25.16,,,,,
2,25.27,,,,,
2,26.1,,,,,
2,26.88,,,,,
1,27.449,,,,,
1,27.45,,,,,
1,27.5,,,,,
1,27.57,,,,,
1,27.76,,,,,
1,28.671,,,,,
2,28.67,,,,,
2,28.93,,,,,
2,29.71,,,,,
1,29.821,,,,,
1,29.82,,,,,
1,30.531,,,,,
2,30.53,,,,,
2,32.48,,,,,
1,33.549,,,,,
1,33.55,,,,,
1,33.761,,,,,
2,33.76,,,,,
1,34.159,,,,,
1,34.16,,,,,
1,34.341,,,,,
2,34.34,,,,,
1,34.769,,,,,
1,34.77,,,,,
1,35.28,,,,,
1,35.46,,,,,
1,35.901,,,,,
2,35.9,,,,,
2,36.21,,,,,
2,36.39,,,,,
2,36.44,,,,,
1,36.589,,,,,
1,36.59,,,,,
1,36.94,,,,,
1,37.341,,,,,
2,37.34,,,,,
1,38.129,,,,,
1,38.13,,,,,
1,38.23,,,,,
1,39.17,,,,,
1,39.23,,,,,
1,39.25,,,,,
1,39.33,,,,,
1,39.36,,,,,
1,39.52,,,,,
1,39.55,,,,,
1,39.66,,,,,
1,39.97,,,,,
1,40.58,,,,,
1,40.67,,,,,
1,41.4,,,,,
1,42.02,,,,,
1,42.21,,,,,
1,42.29,,,,,
1,42.41,,,,,
1,42.92,,,,,
1,43.13,,,,,
1,43.68,,,,,
1,44.49,,,,,
1,45.54,,,,,
1,46.01,,,,,
1,46.04,,,,,
1,46.47,,,,,
1,46.53,,,,,
1,47.56,,,,,
1,47.65,,,,,
1,47.7,,,,,
1,47.83,,,,,
1,47.93,,,,,
1,47.98,,,,,
1,48.21,,,,,
1,48.41,,,,,
1,48.52,,,,,
1,48.92,,,,,
1,49.05,,,,,
1,49.12,,,,,
1,49.16,,,,,
1,50.63,,,,,
1,50.68,,,,,
1,50.68,,,,,
1,50.94,,,,,
1,51.22,,,,,
1,51.35,,,,,
1,51.63,,,,,
1,55.43,,,,,
1,55.77,,,,,
1,56.86,,,,,
1,57.07,,,,,
1,57.96,,,,,
1,58.04,,,,,
1,58.39,,,,,
1,58.82,,,,,
1,58.86,,,,,
1,58.98,,,,,
1,59.91,,,,,
1,59.95,,,,,
1,59.97,,,,,
1,60,,,,,
1.5,60.0000001,,,,,
1.5,78,,,,,
